time,x1,x2,theta1,theta2,theta3,theta4,xi1,xi2,YF1,YF2,YF3,YF4,YF5,YF6,YF7,YF8
0.41,1.02057,0.0832961,6.12805,7.47113,17.0035,18.6694,4.35582,9.82611,1.06468,0.108962,0,0,0,0.042516,1.03183,0.112654,
0.42,1.0099,0.0606545,6.10136,7.53369,16.7976,18.8455,5.05004,11.2753,1.04157,0.0831998,0,0,0,0.0332026,1.02057,0.0850097,
0.43,0.999665,0.0407849,6.06294,7.59068,16.5925,18.9899,5.73911,12.5424,1.01989,0.0606173,0,0,0,0.0247325,1.0099,0.0612548,
0.44,0.990042,0.0236473,6.03212,7.65595,16.4166,19.1369,6.40018,13.6157,0.999331,0.0407736,0,0,0,0.017002,0.999665,0.0407712,
0.45,0.980978,0.00887831,5.99534,7.71932,16.2456,19.2603,7.03961,14.5318,0.980183,0.0236451,0,0,0,0.0100723,0.990042,0.0234119,
0.46,0.972553,-0.00363178,5.96232,7.78814,16.0968,19.3816,7.64508,15.2906,0.962317,0.00887819,0,0,0,0.00386176,0.980978,0.00870942,
0.47,0.964743,-0.0141744,5.92598,7.85646,15.9551,19.485,8.21871,15.919,0.945859,-0.00363177,0,0,0,-0.00161232,0.972553,-0.0035321,
0.48,0.957583,-0.0228884,5.89173,7.9283,15.831,19.5836,8.75356,16.4223,0.930728,-0.0141739,0,0,0,-0.00641937,0.964743,-0.0136746,
0.49,0.951053,-0.0300119,5.85564,8.00001,15.715,19.6681,9.25064,16.8209,0.916966,-0.0228864,0,0,0,-0.0105694,0.957583,-0.0219175,
0.5,0.945161,-0.0356885,5.82088,8.07376,15.6131,19.7467,9.70632,17.1225,0.904502,-0.0300074,0,0,0,-0.0141244,0.951053,-0.0285429,
0.51,0.939883,-0.0401136,5.78523,8.14725,15.5193,19.814,10.1216,17.3431,0.89333,-0.0356809,0,0,0,-0.01711,0.945161,-0.0337314,
0.52,0.935209,-0.0434217,5.75061,8.22162,15.437,19.8753,10.495,17.4905,0.883379,-0.0401029,0,0,0,-0.0195826,0.939883,-0.0377021,
0.53,0.931112,-0.0457723,5.71572,8.29539,15.3624,19.9274,10.8278,17.5774,0.874616,-0.0434081,0,0,0,-0.0215754,0.935209,-0.0406084,
0.54,0.927571,-0.0472837,5.68177,8.36914,15.2973,19.9738,11.1202,17.6113,0.866969,-0.0457563,0,0,0,-0.0231394,0.931112,-0.0426191,
0.55,0.924556,-0.0480847,5.648,8.44189,15.2389,20.0129,11.3737,17.6018,0.860388,-0.0472661,0,0,0,-0.0243103,0.927571,-0.043859,
0.56,0.92204,-0.0482755,5.61516,8.51394,15.1883,20.0469,11.5894,17.5554,0.854803,-0.0480662,0,0,0,-0.0251333,0.924556,-0.044457,
0.57,0.919991,-0.0479582,5.58281,8.58464,15.1436,20.075,11.7691,17.4798,0.850158,-0.0482567,0,0,0,-0.0256433,0.92204,-0.0445119,
0.58,0.91838,-0.0472149,5.55143,8.65413,15.1052,20.0988,11.9145,17.3801,0.846383,-0.0479399,0,0,0,-0.0258798,0.919991,-0.0441212,
0.59,0.917175,-0.0461256,5.52075,8.72199,15.0717,20.1179,12.0276,17.2623,0.843422,-0.0471974,0,0,0,-0.0258749,0.91838,-0.0433612,
0.6,0.916346,-0.0447553,5.49106,8.78829,15.0433,20.1335,12.1103,17.1304,0.84121,-0.0461092,0,0,0,-0.0256625,0.917175,-0.0423052,
0.61,0.915864,-0.0431657,5.46221,8.85276,15.0189,20.1454,12.1647,16.9888,0.839691,-0.0447404,0,0,0,-0.0252707,0.916346,-0.0410114,
0.62,0.915698,-0.0414071,5.43438,8.91543,14.9986,20.1545,12.1927,16.8407,0.838806,-0.0431523,0,0,0,-0.0247282,0.915864,-0.0395339,
0.63,0.915822,-0.0395259,5.40746,8.97616,14.9815,20.1607,12.1963,16.6891,0.838503,-0.0413952,0,0,0,-0.024059,0.915698,-0.0379164,
0.64,0.916209,-0.0375601,5.38156,9.03495,14.9675,20.1648,12.1776,16.5365,0.83873,-0.0395156,0,0,0,-0.0232865,0.915822,-0.0361987,
0.65,0.916833,-0.0355439,5.35662,9.09174,14.9561,20.1667,12.1384,16.385,0.839439,-0.0375513,0,0,0,-0.0224307,0.916209,-0.0344129,
0.66,0.917671,-0.0335051,5.33268,9.14654,14.9471,20.167,12.0804,16.2361,0.840583,-0.0355364,0,0,0,-0.0215107,0.916833,-0.0325879,
0.67,0.9187,-0.0314679,5.3097,9.19932,14.94,20.1658,12.0056,16.0915,0.84212,-0.0334988,0,0,0,-0.0205425,0.917671,-0.0307466,
0.68,0.919899,-0.0294519,5.28771,9.2501,14.9348,20.1633,11.9155,15.9521,0.84401,-0.0314627,0,0,0,-0.0195411,0.9187,-0.0289095,
0.69,0.921249,-0.0274739,5.26665,9.2989,14.931,20.1598,11.8117,15.8188,0.846215,-0.0294477,0,0,0,-0.0185192,0.919899,-0.0270928,
0.7,0.922731,-0.025547,5.24655,9.34573,14.9286,20.1555,11.6957,15.6923,0.848699,-0.0274705,0,0,0,-0.0174882,0.921249,-0.0253103,
0.71,0.924328,-0.0236818,5.22736,9.39062,14.9273,20.1504,11.5689,15.5731,0.851432,-0.0255442,0,0,0,-0.0164578,0.922731,-0.023573,
0.72,0.926025,-0.0218865,5.20907,9.43361,14.9269,20.1448,11.4326,15.4614,0.854382,-0.0236796,0,0,0,-0.0154366,0.924328,-0.0218897,
0.73,0.927807,-0.0201673,5.19166,9.47474,14.9272,20.1387,11.2881,15.3574,0.857522,-0.0218847,0,0,0,-0.0144316,0.926025,-0.0202674,
0.74,0.929661,-0.0185285,5.1751,9.51404,14.9283,20.1324,11.1364,15.2612,0.860825,-0.0201659,0,0,0,-0.0134489,0.927807,-0.0187113,
0.75,0.931574,-0.016973,5.15938,9.55155,14.9298,20.1258,10.9787,15.1728,0.864269,-0.0185274,0,0,0,-0.0124935,0.929661,-0.0172252,
0.76,0.933536,-0.0155023,5.14446,9.58733,14.9317,20.1191,10.8158,15.0919,0.86783,-0.0169722,0,0,0,-0.0115694,0.931574,-0.0158116,
0.77,0.935536,-0.0141168,5.13033,9.62141,14.934,20.1124,10.6488,15.0185,0.87149,-0.0155017,0,0,0,-0.0106798,0.933536,-0.0144719,
